Caroline Langsford, Sally Irvine
Linda Tuero, Gail Hansen
Helen Gourlay, Jane Kincaid
Cecilia Martinez, Beatriz Araujo
Ann Lebedeff, Patricia Cody
Nancy Richey, Patricia Bostrom
Rosie Casals, Mary Struthers
Esme Emmanuel, Maricaye Christenson
Mary Ann Eisel, Pam Richmond
Gail Sherriff, Laura Dupont
Patricia Walkden, Becky Vest
Linda Tuero, Connie Capozzi
Helen Gourlay, Cecilia Martinez
Nancy Richey, Ann Lebedeff
Rosie Casals, Esme Emmanuel
Gail Sherriff, Mary Ann Eisel
Linda Tuero, Patricia Walkden
Nancy Richey, Helen Gourlay
Gail Sherriff, Rosie Casals
Linda Tuero, Nancy Richey
Linda Tuero, Gail Sherriff
Margaret Court, Junko Sawamatsu
Almut Sturm, Tine Zwaan
Evonne Goolagong, Judith Salome
Helga Masthoff, Lexie Kenny
Ada Bakker, Carol Ann Kalogeropoulos
Denise Carter, Betty Stove
Laura Rossouw, Karen Krantzcke
Marijke Jansen, Brenda Kirk
Winnie Shaw, Elsie Spruyt
Christina Sandberg, Trudy Groenman
Kerry Reid, Daphne Pattison
Stephanie Johnson, Kazuko Sawamatsu
Vlasta Kodesova, Valerie Ziegenfuss
Virginia Wade, Patricia Edwards
Margaret Court, Almut Sturm
Evonne Goolagong, Sannie Gouws
Helga Masthoff, Ada Bakker
Laura Rossouw, Denise Carter
Marijke Jansen, Winnie Shaw
Kerry Reid, Christina Sandberg
Stephanie Johnson, Helen Amos
Virginia Wade, Vlasta Kodesova
Margaret Court, Evonne Goolagong
Helga Masthoff, Laura Rossouw
Kerry Reid, Marijke Jansen
Stephanie Johnson, Virginia Wade
Margaret Court, Helga Masthoff
Kerry Reid, Stephanie Johnson
Margaret Court, Kerry Reid
Judy Tegart, Baerbel Wuestl
Heide Orth, Eva Lundquist
