Robert Lutz, Cliff Letcher
Francisco Gonzalez, Noel Phillips
Nial Brash, Onny Parun
Chris Gunning, Peter Campbell
Stan Smith, Ricardo Ycaza
Gene Stuart Malin, Adriano Panatta
Ramesh Krishnan, Tom Leonard
Ilie Nastase, Larry Stefanki
John Yuill, Robin Drysdale
Chris Kachel, Sandy Mayer
Robert Lutz, Warrick Jones
Francisco Gonzalez, Nial Brash
Stan Smith, Chris Gunning
Gene Stuart Malin, Ramesh Krishnan
Ilie Nastase, John Yuill
Robert Lutz, Chris Kachel
Stan Smith, Francisco Gonzalez
Ilie Nastase, Gene Stuart Malin
Stan Smith, Robert Lutz
Stan Smith, Ilie Nastase
Wojtek Fibak, Ricardo Cano
Pavel Slozil, Miguel Mir
John Yuill, Fernando Dalla Fontana
Rolf Gehring, Zlatko Ivancic
Tomas Smid, Roberto Vizcaino
Jan Kodes, Onny Parun
Zeljko Franulovic, Ricardo Ycaza
Dominique Bedel, Noel Phillips
Peter Mcnamara, Peter Elter
Klaus Eberhard, Andreas Maurer
