Ken Rosewall, Abe Segal
Rod Laver, Stan Smith
Marty Riessen, Brian Fairlie
Mark Cox, Herb Fitzgibbon
Daniel Contet, Alan Fox
Richard Gonzalez, Robert Maud
Alex Metreveli, Patrice Beust
Dennis Ralston, Cliff Richey
Jose Edison Mandarino, Jan Leschly
John Newcombe, John Alexander
David Lloyd, Terry Ryan
Arthur Ashe, Ismail El Shafei
Ove Bengtson, Jose Luis Arillla
Roy Emerson, Ion Tiriac
Alejandro Olmedo, Ken Fletcher
Tom Okker, Michael Sangster
Vladimir Korotkov, Pierre Barthes
Terry Addison, Nicholas Kalogeropoulos
Fred Stolle, Bob Howe
Clark Graebner, Jorgen Ulrich
Manuel Santana, Graham Stilwell
Tom Edlefsen, Geoff Bluett
Cliff Drysdale, Graydon Garner
Raymond Moore, Dick Crealy
Andres Gimeno, Bill Bowrey
Torben Ulrich, Georges Goven
Earl Butch Buchholz, Bob Carmichael
Bob Hewitt, Thomaz Koch
Lew Hoad, Pancho Guzman
Ray Ruffels, Clay Iles
Tony Roche, Jim Osborne
Onny Parun, Roger Taylor
Ken Rosewall, Charlie Pasarell
Rod Laver, Marty Riessen
Mark Cox, Daniel Contet
Alex Metreveli, Richard Gonzalez
Dennis Ralston, Jose Edison Mandarino
John Newcombe, David Lloyd
Arthur Ashe, Ove Bengtson
Roy Emerson, Alejandro Olmedo
Tom Okker, Vladimir Korotkov
Fred Stolle, Terry Addison
Clark Graebner, Manuel Santana
Tom Edlefsen, Cliff Drysdale
Raymond Moore, Andres Gimeno
Earl Butch Buchholz, Torben Ulrich
Bob Hewitt, Lew Hoad
Tony Roche, Ray Ruffels
Ken Rosewall, Onny Parun
Rod Laver, Mark Cox
Dennis Ralston, Alex Metreveli
Arthur Ashe, John Newcombe
Tom Okker, Roy Emerson
Clark Graebner, Fred Stolle
Raymond Moore, Tom Edlefsen
Earl Butch Buchholz, Bob Hewitt
Tony Roche, Ken Rosewall
Rod Laver, Dennis Ralston
Arthur Ashe, Tom Okker
Clark Graebner, Raymond Moore
Tony Roche, Earl Butch Buchholz
Rod Laver, Arthur Ashe
Tony Roche, Clark Graebner
Rod Laver, Tony Roche
John Newcombe, Allen Quay
Ramanathan Krishnan, Warren Jacques
Vic Seixas, Tom Gorman
Chuck Mckinley, Bill Tym
Marty Riessen, Zeljko Franulovic
Torben Ulrich, Cliff Montgomery
Bob Mckinley, Ron Goldman
Jaime Fillol, Chris Bovett
Clark Graebner, Premjit Lall
Jim Mcmanus, Sherwood Stewart
Tom Mozur, Eduardo Zuleta
Roger Taylor, Frank Tutvin
Danny Obryant, Paul Cranis
