Brenda Schultz Mccarthy, Pascale Paradis Mangon
Helena Sukova, Catherine Tanvier
Patty Fendick, Jana Novotna
Jenny Byrne, Anne Minter
Brenda Schultz Mccarthy, Gretchen Magers
Helena Sukova, Patty Fendick
Brenda Schultz Mccarthy, Jenny Byrne
Helena Sukova, Brenda Schultz Mccarthy
Andrea Temesvari, Monique Javer
Ann Henricksson, Lea Antonoplis
Dianne Van Rensburg, Brenda Schultz Mccarthy
Ann Grossman, Jill Hetherington
Dianne Fromholtz, Anne Smith
Petra Langrova, Wiltrud Probst
Belinda Cordwell, Iwona Kuczynska
Elizabeth Minter, Katrina Adams
Gretchen Magers, Rene Simpson
Hana Mandlikova, Jo Durie
Nathalie Herreman, Silke Meier
Amy Frazier, Julie Halard Decugis
Laura Golarsa, Elise Burgin
Camille Benjamin, Nicole Jagerman
Judith Wiesner, Rachel Mcquillan
Catarina Lindqvist Ryan, Catherine Tanvier
Louise Field, Eva Pfaff
Liz Smylie, Alexia Dechaume Balleret
Ronni Reis, Kathy Horvath
Beth Herr, Claudia Porwik
Terry Phelps, Ann Devries
Nicole Bradtke, Hester Witvoet
Etsuko Inoue, Federica Bonsignori
Jo Anne Faull, Beverly Bowes
Martina Navratilova, Andrea Temesvari
Dianne Van Rensburg, Ann Henricksson
Ann Grossman, Dianne Fromholtz
Patty Fendick, Petra Langrova
Mary Joe Fernandez, Belinda Cordwell
Gretchen Magers, Elizabeth Minter
Hana Mandlikova, Nathalie Herreman
Amy Frazier, Pascale Paradis Mangon
Anne Minter, Laura Golarsa
Judith Wiesner, Camille Benjamin
Catarina Lindqvist Ryan, Louise Field
Helena Sukova, Liz Smylie
Raffaella Reggi Concato, Ronni Reis
