Mary Lou Piatek, Betsy Nagelsen
Catherine Suire, Larisa Savchenko
Sharon Walsh Pete, Iva Budarova
Christiane Jolissaint, Eva Pfaff
Tine Scheuer Larsen, Myriam Schropp
Yvonne Vermaak, Anne White
Carina Karlsson, Sandy Collins
Amanda Brown, Annabel Croft
Jo Durie, Elise Burgin
Bettina Bunge, Dianne Fromholtz
Lea Antonoplis, Adriana Villagran Reami
Anne Minter, Shawn Foltz
Gigi Fernandez, Kim Jones
Pascale Paradis Mangon, Virginia Wade
Barbara Gerken, Brenda Remilton
Steffi Graf, Linda Howell
Rosalyn Fairbank, Sue Barker
Lori Mcneil, Wendy White
Robin White, Amanda Tobin
Ann Henricksson, Rebecca Bryant
Camille Benjamin, Michaela Washington
Catherine Tanvier, Petra Keppeler
Marcella Mesker, Lilian Drescher
Beverly Mould, Vicki Nelson
Martina Navratilova, Mary Lou Piatek
Sharon Walsh Pete, Catherine Suire
Christiane Jolissaint, Tine Scheuer Larsen
Yvonne Vermaak, Helena Sukova
Claudia Kohde Kilsch, Carina Karlsson
Jo Durie, Amanda Brown
Bettina Bunge, Lea Antonoplis
Zina Garrison, Anne Minter
Gigi Fernandez, Carling Bassett Seguso
Pascale Paradis Mangon, Barbara Gerken
Steffi Graf, Rosalyn Fairbank
Wendy Turnbull, Lori Mcneil
Robin White, Catarina Lindqvist Ryan
Ann Henricksson, Camille Benjamin
Marcella Mesker, Catherine Tanvier
Pam Shriver, Beverly Mould
Martina Navratilova, Sharon Walsh Pete
Yvonne Vermaak, Christiane Jolissaint
Claudia Kohde Kilsch, Jo Durie
Zina Garrison, Bettina Bunge
Gigi Fernandez, Pascale Paradis Mangon
Wendy Turnbull, Steffi Graf
Ann Henricksson, Robin White
Marcella Mesker, Pam Shriver
Martina Navratilova, Yvonne Vermaak
Zina Garrison, Claudia Kohde Kilsch
Wendy Turnbull, Gigi Fernandez
Ann Henricksson, Marcella Mesker
Martina Navratilova, Zina Garrison
Ann Henricksson, Wendy Turnbull
Martina Navratilova, Ann Henricksson
Gabriela Sabatini, Raffaella Reggi Concato
Jeong Soon Lee, Vicki Beggs
Helen Park, Nerida Gregory
Emilse Raponi Longo, Neige Dias
Marianne Groat, Masako Yanagi
Kate Brasher, Jill Hetherington
Adriana Villagran Reami, Brenda Perry
Beverly Bowes, Nicole Mabille
Sabina Simmonds, Mary Ann Colville
Silvana Campos, Karen Dewis
Eun Sook Han, Christina Rozwadowski
Petra Huber, Ann Gabriel
Emiko Okagawa, Marlene De Wouters
Luciana Corsato Owsianka, Germaine Ohaco
Penny Barg, Heliane Steden
Sandra Cecchini, Helene Pelletier
Gabriela Sabatini, Jeong Soon Lee
Emilse Raponi Longo, Helen Park
Marianne Groat, Kate Brasher
Adriana Villagran Reami, Beverly Bowes
Silvana Campos, Sabina Simmonds
Eun Sook Han, Petra Huber
Emiko Okagawa, Luciana Corsato Owsianka
Sandra Cecchini, Penny Barg
Emilse Raponi Longo, Gabriela Sabatini
Adriana Villagran Reami, Marianne Groat
Silvana Campos, Eun Sook Han
Sandra Cecchini, Emiko Okagawa
Adriana Villagran Reami, Emilse Raponi Longo
Sandra Cecchini, Silvana Campos
Sandra Cecchini, Adriana Villagran Reami
Sandy Collins, Vicki Nelson
Petra Huber, Yvonne Vermaak
Rosalyn Fairbank, Tina Mochizuki
Catherine Tanvier, Etsuko Inoue
Tine Scheuer Larsen, Rene Uys
Sabrina Goles, Melissa Brown
Helene Pelletier, Liz Smylie
Annabel Croft, Elise Burgin
Jill Hetherington, Anne White
Carina Karlsson, Sue Barker
Anne Minter, Katerina Bohmova
Michelle Torres, Christiane Jolissaint
Terry Phelps, Marcella Mesker
Gretchen Magers, Jenny Klitch
Joanne Russell, Beverly Mould
Laura Arraya, Anne Hobbs
