Andrey Rublev, Martin Pedersen
Martin Klizan, Grega Zemlja
Norbert Gombos, Tom Kocevar Desman
Martin Klizan, Tom Kocevar Desman
Lukas Lacko, Mike Urbanija
Elias Ymer, Jurgen Melzer
Andreas Haider Maurer, Christian Lindell
Andreas Haider Maurer, Elias Ymer
Gerald Melzer, Christian Lindell
Yong Kyu Lim, Danai Udomchoke
Hyeon Chung, Warit Sornbutnark
Hyeon Chung, Danai Udomchoke
Warit Sornbutnark, Ji Sung Nam
Alejandro Gonzalez, Pablo Cuevas
Santiago Giraldo, Martin Cuevas
Pablo Cuevas, Santiago Giraldo
Alejandro Gonzalez, Martin Cuevas
Cristian Garin, Duilio Beretta
Nicolas Jarry, Juan Pablo Varillas
Nicolas Jarry, Duilio Vallebuona
Hans Podlipnik Castillo, Juan Pablo Varillas
Radu Albot, Gabor Borsos
Marton Fucsovics, Andrei Ciumac
Marton Fucsovics, Radu Albot
Gabor Borsos, Maxim Bulat
Christopher Rungkat, Shahin Khaledan
Sunu Wahyu Trijati, Anoosha Shahgholi
David Agung Susanto, Mohsen Hossein Zade
Aditya Hari Sasongko, Shahin Khaledan
Dzmitry Zhyrmont, Sam Barry
Egor Gerasimov, Daniel Glancy
Egor Gerasimov, Sam Barry
Dzmitry Zhyrmont, Daniel Glancy
Martins Podzus, Alexandar Lazov
Dimitar Kuzmanov, Janis Podzus
Dimitar Kuzmanov, Martins Podzus
Alexandar Lazov, Rudolfs Mednis
Gilles Muller, Jacob Rasolondrazana
Antso Rakotondramanga, Ugo Nastasi
Gilles Muller, Antso Rakotondramanga
Lofo Ramiaramanana, Gilles Kremer
Daniel Garza, Federico Zeballos
Hugo Dellien, Tigre Hank
Daniel Garza, Hugo Dellien
Jarkko Nieminen, Romain Arneodo
Benjamin Balleret, Micke Kontinen
Jarkko Nieminen, Benjamin Balleret
Romain Arneodo, Henrik Sillanpaa
Aisam Ul Haq Qureshi, Naser Al Obaidly
Mohammad Ghareeb, Aqeel Khan
Mohammad Ghareeb, M Abid Ali Khan Akbar
Aqeel Khan, Dawood Sayed Hashim
Patrick Tierro, Harshana Godamanna
Ruben Gonzales, Sharmal Dissanayake
Treat Conrad Huey, Sharmal Dissanayake
Francis Casey Alcantara, Dineshkanthan Thangarajah
Joao Sousa, Yassine Idmbarek
Rui Machado, Lamine Ouahab
Lamine Ouahab, Frederico Ferreira Silva
Joao Domingues, Mehdi Jdi
Marcelo Arevalo, Gabriel Flores Ruiz
Alex Llompart, Rafa Orantes
Marcelo Arevalo, Alex Llompart
Christian Garay, Alberto Emmanuel Alvarado Larin
Yen Hsun Lu, Ibrahim Abou Chahine
Jui Chen Hung, Karim Alayli
Chieh Fu Wang, Nour Nehme
Jui Chen Hung, Ibrahim Abou Chahine
Fritz Wolmarans, Cem Ilkel
Marsel Ilhan, Tucker Vorster
Marsel Ilhan, Fritz Wolmarans
Cem Ilkel, Ruan Roelofse
David Souto, Julian Saborio
Ricardo Rodriguez, Ignaci Roca
Ricardo Rodriguez, Pablo Nunez
Luis David Martinez, Ignaci Roca
Mirza Basic, Takanyi Garanganga
Damir Dzumhur, Benjamin Lock
Tomislav Brkic, Takanyi Garanganga
Benjamin Lock, Nerman Fatic
Joao Souza, Carlos Berlocq
Leonardo Mayer, Thomaz Bellucci
Leonardo Mayer, Joao Souza
Federico Delbonis, Thomaz Bellucci
Henri Laaksonen, Ruben Bemelmans
Steve Darcis, Michael Lammer
Henri Laaksonen, Steve Darcis
David Goffin, Adrien Bossel
Milos Raonic, Tatsuma Ito
Kei Nishikori, Vasek Pospisil
Kei Nishikori, Milos Raonic
Vasek Pospisil, Go Soeda
Thanasi Kokkinakis, Lukas Rosol
Bernard Tomic, Jiri Vesely
Bernard Tomic, Lukas Rosol
Jan Mertl, Sam Groth
Andy Murray, Donald Young
James Ward, John Isner
Andy Murray, John Isner
Donald Young, James Ward
Gilles Simon, Jan Lennard Struff
Gael Monfils, Philipp Kohlschreiber
Philipp Kohlschreiber, Gilles Simon
Jan Lennard Struff, Nicolas Mahut
Mikhail Kukushkin, Simone Bolelli
Andreas Seppi, Andrey Golubev
Mikhail Kukushkin, Andreas Seppi
Aleksandr Nedovyesov, Fabio Fognini
Novak Djokovic, Mate Delic
Viktor Troicki, Borna Coric
Filip Krajinovic, Franko Skugor
